tx_hash,timestamp,asset,side,price,usdc_amount,token_amount,slug,seconds_into_window,seconds_to_resolution,window_fraction,binance_price,momentum_1min,momentum_5min,momentum_10min,momentum_15min,momentum_from_window_start,volatility_5min,volatility_10min,volatility_15min,atr_10min,rsi_14min,btc_momentum_5min,trades_same_second,time_since_last_trade,recent_trade_intensity,price_above_half
0x5fe7b5f6471f2ef4de5d78fc62e649fd469509660a1a463b729a862b1d3b8cb4,1764921523,ETH,BUY,0.07,4.6669,66.67,eth-updown-15m-1764920700,823.0,77.0,0.9144444444444444,3173.31,,-0.00018274105277748355,-0.00037801109462571317,-0.0005669094928995159,-0.00011973444161216412,0.00031772288902715104,0.00041894342154850364,0.0004312923677777651,1.9533333333333758,44.27480916030552,-0.0001383346288654209,4,0.0,152.0,0
0x37fc6b40b123a78e0752efb2acf98d605155a28019e87896730a0ffcc870164f,1764921523,ETH,BUY,0.05,3.91,78.2,eth-updown-15m-1764920700,823.0,77.0,0.9144444444444444,3173.31,,-0.00018274105277748355,-0.00037801109462571317,-0.0005669094928995159,-0.00011973444161216412,0.00031772288902715104,0.00041894342154850364,0.0004312923677777651,1.9533333333333758,44.27480916030552,-0.0001383346288654209,4,0.0,154.0,0
0xdf0a000925331e0c998e0ddf40a4070f4f3fa4cb18ec304d4aeba51f4c9a5054,1764921529,ETH,BUY,0.17,20.57,121.0,eth-updown-15m-1764920700,829.0,71.0,0.9211111111111111,3173.31,,-0.00018274105277748355,-0.00037801109462571317,-0.0005669094928995159,-0.00011973444161216412,0.00031772288902715104,0.00041894342154850364,0.0004312923677777651,1.9533333333333758,44.27480916030552,-0.0001383346288654209,1,6.0,154.0,0
0x224c037fa14e3840c8f5cc8e0344d5490630a53196468d1a3d420596e6392a92,1764921531,ETH,BUY,0.23,27.83,121.0,eth-updown-15m-1764920700,831.0,69.0,0.9233333333333333,3173.31,,-0.00018274105277748355,-0.00037801109462571317,-0.0005669094928995159,-0.00011973444161216412,0.00031772288902715104,0.00041894342154850364,0.0004312923677777651,1.9533333333333758,44.27480916030552,-0.0001383346288654209,1,2.0,154.0,0
0x0294504e9fdc5040b0014f5cc2d759547c15b38513a6b37298933c4e74c29ec1,1764921607,ETH,BUY,0.49,59.29,121.0,eth-updown-15m-1764921600,7.0,893.0,0.0077777777777777776,3171.47,,-0.00016393494304836454,-0.0008065456218121442,-7.251631617114425e-05,0.0,0.0004927019257775384,0.0003674855289838029,0.0004378730731923488,1.79555555555559,49.25373134328363,7.765114399318991e-05,2,76.0,152.0,0
0x34126c9ec6def49194fb7420a285b1bc934ed7ea3366fe45c3dfbad0084506c2,1764921607,ETH,BUY,0.49,59.29,121.0,eth-updown-15m-1764921600,7.0,893.0,0.0077777777777777776,3171.47,,-0.00016393494304836454,-0.0008065456218121442,-7.251631617114425e-05,0.0,0.0004927019257775384,0.0003674855289838029,0.0004378730731923488,1.79555555555559,49.25373134328363,7.765114399318991e-05,2,0.0,150.0,0
0xa1b990e51e0a3d1a588ee3805f0e56a407e809ee891b3751a1dfb9532eeaae7d,1764921613,ETH,BUY,0.49,59.29,121.0,eth-updown-15m-1764921600,13.0,887.0,0.014444444444444444,3171.47,,-0.00016393494304836454,-0.0008065456218121442,-7.251631617114425e-05,0.0,0.0004927019257775384,0.0003674855289838029,0.0004378730731923488,1.79555555555559,49.25373134328363,7.765114399318991e-05,1,6.0,147.0,0
0xdc17e081bdc243b16aeaa28f556ed41d1898b9405a59930fa61d7cd84f079d44,1764921631,BTC,BUY,0.4,28.0,70.0,btc-updown-15m-1764921600,31.0,869.0,0.034444444444444444,92214.43,,7.765114399318991e-05,-0.0003122180348628611,-0.00040714568867308143,0.0,0.0003609460805092403,0.00025743082015304276,0.0003071704998986108,24.991111111110918,44.03506543005743,,1,328.0,144.0,0
0x925daf603ec7ce5622ea503685be7c3babc574856931cf61696c7b54d1b84a24,1764921633,BTC,BUY,0.4,1.308,3.27,btc-updown-15m-1764921600,33.0,867.0,0.03666666666666667,92214.43,,7.765114399318991e-05,-0.0003122180348628611,-0.00040714568867308143,0.0,0.0003609460805092403,0.00025743082015304276,0.0003071704998986108,24.991111111110918,44.03506543005743,,2,2.0,144.0,0
0x1181d591c4dacdb08b393a67ce7b042edc861094f335d09dd8a92febb59e7c6b,1764921633,BTC,BUY,0.4,0.666666,1.666665,btc-updown-15m-1764921600,33.0,867.0,0.03666666666666667,92214.43,,7.765114399318991e-05,-0.0003122180348628611,-0.00040714568867308143,0.0,0.0003609460805092403,0.00025743082015304276,0.0003071704998986108,24.991111111110918,44.03506543005743,,2,0.0,144.0,0
0x2cff6341c4e76844599b864dd13fe1d4cb5e5df9a5e7e0b7c9357f7b0fc5be9a,1764921695,BTC,BUY,0.18,21.78,121.0,btc-updown-15m-1764921600,95.0,805.0,0.10555555555555556,92210.47,,3.470442189641977e-05,-0.0002684440641606766,-0.0006105121235374126,-4.294338749360432e-05,0.00036235377263029643,0.0002567367766608217,0.0003022852272460822,28.715555555555813,40.73489259515014,,1,62.0,142.0,0
0xa775f34fcb8e9d6d8833071f4aacf2378a980f1eaccbb38fd42b8d1baed4a2af,1764921895,ETH,SELL,0.812331,2410.924406,2967.907402,eth-updown-15m-1764920700,1195.0,-295.0,1.3277777777777777,3164.71,,-0.0021315036875643673,-0.002738387848994786,-0.002342267365248645,-0.002829513909676124,0.0006837667595708747,0.000574179493199397,0.0005302383697552001,2.5511111111111657,28.236672524900484,-0.0011755210111909188,4,282.0,143.0,1
0xa775f34fcb8e9d6d8833071f4aacf2378a980f1eaccbb38fd42b8d1baed4a2af,1764921895,BTC,SELL,0.964838,2410.924406,2498.787849,btc-updown-15m-1764920700,1195.0,-295.0,1.3277777777777777,92106.03,,-0.0011755210111909188,-0.0012946537630672385,-0.001425342187288263,-0.0020474565252722376,0.0004580654709690632,0.0003904985365932896,0.00032518958344535614,41.81333333333411,29.190541011110284,,4,200.0,144.0,1
0xa775f34fcb8e9d6d8833071f4aacf2378a980f1eaccbb38fd42b8d1baed4a2af,1764921895,ETH,SELL,1.0,2410.924406,2410.924406,eth-updown-15m-1764920700,1195.0,-295.0,1.3277777777777777,3164.71,,-0.0021315036875643673,-0.002738387848994786,-0.002342267365248645,-0.002829513909676124,0.0006837667595708747,0.000574179493199397,0.0005302383697552001,2.5511111111111657,28.236672524900484,-0.0011755210111909188,4,0.0,147.0,1
0xa775f34fcb8e9d6d8833071f4aacf2378a980f1eaccbb38fd42b8d1baed4a2af,1764921895,BTC,SELL,1.561774,2410.924406,1543.708486,btc-updown-15m-1764920700,1195.0,-295.0,1.3277777777777777,92106.03,,-0.0011755210111909188,-0.0012946537630672385,-0.001425342187288263,-0.0020474565252722376,0.0004580654709690632,0.0003904985365932896,0.00032518958344535614,41.81333333333411,29.190541011110284,,4,0.0,149.0,1
0xd5ef00f0764f3350137a49924718879466d992c95f9b8e20025e12d8a25b2897,1764921903,ETH,BUY,0.93,63.107142,67.857141,eth-updown-15m-1764921600,303.0,597.0,0.33666666666666667,3166.47,,-0.0015891483867307428,-0.0017402324723596171,-0.002381830039413742,-0.0015765559819263624,0.0008597311978298048,0.0006371189731558337,0.0005259338673120835,2.573333333333368,27.68595041322382,-0.0008071751505008874,1,8.0,148.0,1
0x98ad33b499e30daff5c351375bcae43d1afeb3e4ce2ef2bcbe2feffecfef0b4a,1764921909,ETH,BUY,0.07,0.7,10.0,eth-updown-15m-1764921600,309.0,591.0,0.3433333333333333,3166.47,,-0.0015891483867307428,-0.0017402324723596171,-0.002381830039413742,-0.0015765559819263624,0.0008597311978298048,0.0006371189731558337,0.0005259338673120835,2.573333333333368,27.68595041322382,-0.0008071751505008874,3,6.0,150.0,0
0xfe85c345e61e4e1b82d009581636fb5a337757194046f79b3ba4ab18c2d7871a,1764921909,ETH,BUY,0.07,7.42,106.0,eth-updown-15m-1764921600,309.0,591.0,0.3433333333333333,3166.47,,-0.0015891483867307428,-0.0017402324723596171,-0.002381830039413742,-0.0015765559819263624,0.0008597311978298048,0.0006371189731558337,0.0005259338673120835,2.573333333333368,27.68595041322382,-0.0008071751505008874,3,0.0,152.0,0
0x4ee40de322990258338e6befdf5a90f17ecd943314861fc4c5a994fcccf346e9,1764921909,ETH,BUY,0.07,0.35,5.0,eth-updown-15m-1764921600,309.0,591.0,0.3433333333333333,3166.47,,-0.0015891483867307428,-0.0017402324723596171,-0.002381830039413742,-0.0015765559819263624,0.0008597311978298048,0.0006371189731558337,0.0005259338673120835,2.573333333333368,27.68595041322382,-0.0008071751505008874,3,0.0,153.0,0
0x018fba3cb2be95efbd72357793354c23c17dc1a2f913bb08f155ca940b793a61,1764921941,BTC,BUY,0.1,7.51,75.1,btc-updown-15m-1764921600,341.0,559.0,0.3788888888888889,92136.04,,-0.0008071751505008874,-0.000772498741151435,-0.0011620364985051189,-0.0008500838751592286,0.0005527422907232861,0.00041942568071560543,0.00034258789514510733,42.19555555555659,34.244642384688916,,1,46.0,152.0,0
0xb7686351c74eb49073bec0c7d0aa101d62f1472fea4faa37c03f04a611a021a0,1764921943,ETH,BUY,0.11,0.123595,1.12359,eth-updown-15m-1764921600,343.0,557.0,0.3811111111111111,3166.47,,-0.0015891483867307428,-0.0017402324723596171,-0.002381830039413742,-0.0015765559819263624,0.0008597311978298048,0.0006371189731558337,0.0005259338673120835,2.573333333333368,27.68595041322382,-0.0008071751505008874,2,34.0,152.0,0
0x53f14c7cc3cc7d4b051d9f152ea8f058b79cc739c89e75fc31211e09e2c5a0e8,1764921943,ETH,BUY,0.11,1.65,15.0,eth-updown-15m-1764921600,343.0,557.0,0.3811111111111111,3166.47,,-0.0015891483867307428,-0.0017402324723596171,-0.002381830039413742,-0.0015765559819263624,0.0008597311978298048,0.0006371189731558337,0.0005259338673120835,2.573333333333368,27.68595041322382,-0.0008071751505008874,2,0.0,152.0,0
0x040e7bb27f276e8b6d468ebbbcccb5e186d8a4ebda5ba797ae540644decac01a,1764921949,ETH,BUY,0.11,7.7,70.0,eth-updown-15m-1764921600,349.0,551.0,0.3877777777777778,3166.47,,-0.0015891483867307428,-0.0017402324723596171,-0.002381830039413742,-0.0015765559819263624,0.0008597311978298048,0.0006371189731558337,0.0005259338673120835,2.573333333333368,27.68595041322382,-0.0008071751505008874,2,6.0,153.0,0
0x2d0ebd92c83859e7fe27451020d340a3497db8b009f74c5d4b9c6abee5f0d9a0,1764921949,BTC,BUY,0.1,12.1,121.0,btc-updown-15m-1764921600,349.0,551.0,0.3877777777777778,92136.04,,-0.0008071751505008874,-0.000772498741151435,-0.0011620364985051189,-0.0008500838751592286,0.0005527422907232861,0.00041942568071560543,0.00034258789514510733,42.19555555555659,34.244642384688916,,2,8.0,154.0,0
0xd550b544d6bf3cfa4f9bd32f7a29abfac409a4c465d1054db5cb484df37ef2b9,1764921951,ETH,BUY,0.13,15.6,120.0,eth-updown-15m-1764921600,351.0,549.0,0.39,3166.47,,-0.0015891483867307428,-0.0017402324723596171,-0.002381830039413742,-0.0015765559819263624,0.0008597311978298048,0.0006371189731558337,0.0005259338673120835,2.573333333333368,27.68595041322382,-0.0008071751505008874,3,2.0,155.0,0
0x8c9ce07f6effd60a124c447d60483131ea5573f7247433ac2751ad603fec1c36,1764921951,BTC,BUY,0.1,6.6,66.0,btc-updown-15m-1764921600,351.0,549.0,0.39,92136.04,,-0.0008071751505008874,-0.000772498741151435,-0.0011620364985051189,-0.0008500838751592286,0.0005527422907232861,0.00041942568071560543,0.00034258789514510733,42.19555555555659,34.244642384688916,,3,2.0,156.0,0
0x98f3e28041b2db432094a3c7ab0b655d19626f11d9e04476ca5cae7aac3a109e,1764921951,ETH,BUY,0.12,1.2,10.0,eth-updown-15m-1764921600,351.0,549.0,0.39,3166.47,,-0.0015891483867307428,-0.0017402324723596171,-0.002381830039413742,-0.0015765559819263624,0.0008597311978298048,0.0006371189731558337,0.0005259338673120835,2.573333333333368,27.68595041322382,-0.0008071751505008874,3,0.0,158.0,0
0x78ceffa108b0cf6d69f05e74f63e902cf44760af7bac7013614cbc12443c2150,1764921953,BTC,BUY,0.13,15.73,121.0,btc-updown-15m-1764921600,353.0,547.0,0.39222222222222225,92136.04,,-0.0008071751505008874,-0.000772498741151435,-0.0011620364985051189,-0.0008500838751592286,0.0005527422907232861,0.00041942568071560543,0.00034258789514510733,42.19555555555659,34.244642384688916,,2,2.0,158.0,0
0x0ffa780e36e79f2e16f52354c4c423ee39ccc02af6a942ccbad72285bec45ae0,1764921953,BTC,BUY,0.13,11.57,89.0,btc-updown-15m-1764921600,353.0,547.0,0.39222222222222225,92136.04,,-0.0008071751505008874,-0.000772498741151435,-0.0011620364985051189,-0.0008500838751592286,0.0005527422907232861,0.00041942568071560543,0.00034258789514510733,42.19555555555659,34.244642384688916,,2,0.0,158.0,0
0xda4bb65c9af7fbe95ce9e3d11471df4117b2b86a77840abb7ef0be891984603a,1764921959,ETH,BUY,0.1,3.5,35.0,eth-updown-15m-1764921600,359.0,541.0,0.3988888888888889,3166.47,,-0.0015891483867307428,-0.0017402324723596171,-0.002381830039413742,-0.0015765559819263624,0.0008597311978298048,0.0006371189731558337,0.0005259338673120835,2.573333333333368,27.68595041322382,-0.0008071751505008874,1,8.0,157.0,0
0x9456d5770bfcb606f6c41beb4c5c81a4eed3b5182b72534b057d51168b54ec30,1764921965,ETH,BUY,0.08,9.6,120.0,eth-updown-15m-1764921600,365.0,535.0,0.40555555555555556,3166.51,,-0.0014033604965057326,-0.0018943931007526394,-0.0020296569438533855,-0.0015639435340708194,0.0008806553303027465,0.0006282151477920394,0.0005256123549766011,2.681111111111073,29.74842767295908,-0.0010203285002362832,3,6.0,158.0,0
0xe60673bf50fde903e830d779edd38ad453a234aead4bcb5ae3d5981f0b03c609,1764921965,BTC,BUY,0.11,9.9,90.0,btc-updown-15m-1764921600,365.0,535.0,0.40555555555555556,92131.1,,-0.0010203285002362832,-0.0008260736924539491,-0.001128961243984431,-0.0009036546666285006,0.0005152545923074956,0.00041843452471552437,0.00034267441194619624,43.767777777779784,34.55548633977057,,3,12.0,160.0,0
0xc003e897fc679ddbfa30416ec9b9f21960da041606699159364e9178d26e81c0,1764921965,BTC,BUY,0.11,3.41,31.0,btc-updown-15m-1764921600,365.0,535.0,0.40555555555555556,92131.1,,-0.0010203285002362832,-0.0008260736924539491,-0.001128961243984431,-0.0009036546666285006,0.0005152545923074956,0.00041843452471552437,0.00034267441194619624,43.767777777779784,34.55548633977057,,3,0.0,157.0,0
0x9c5fafc80f006eed06a30e1922d1f617111486d448e3ce70d004d335e39c7785,1764921975,ETH,BUY,0.071531,7.01,98.0,eth-updown-15m-1764921600,375.0,525.0,0.4166666666666667,3166.51,,-0.0014033604965057326,-0.0018943931007526394,-0.0020296569438533855,-0.0015639435340708194,0.0008806553303027465,0.0006282151477920394,0.0005256123549766011,2.681111111111073,29.74842767295908,-0.0010203285002362832,2,10.0,153.0,0
0xab7c92d99a2af271e5a5feb32c57384cc346388e84c7da0c98e79042c206bb9e,1764921975,ETH,BUY,0.09,10.89,121.0,eth-updown-15m-1764921600,375.0,525.0,0.4166666666666667,3166.51,,-0.0014033604965057326,-0.0018943931007526394,-0.0020296569438533855,-0.0015639435340708194,0.0008806553303027465,0.0006282151477920394,0.0005256123549766011,2.681111111111073,29.74842767295908,-0.0010203285002362832,2,0.0,149.0,0
0xb1c7e950b2fb6ebdb6727b86b324942f03bb6edf8e7b834c6c491a07627e6fd6,1764921991,ETH,BUY,0.063802,7.72,121.0,eth-updown-15m-1764921600,391.0,509.0,0.43444444444444447,3166.51,,-0.0014033604965057326,-0.0018943931007526394,-0.0020296569438533855,-0.0015639435340708194,0.0008806553303027465,0.0006282151477920394,0.0005256123549766011,2.681111111111073,29.74842767295908,-0.0010203285002362832,1,16.0,144.0,0
0x11720945df8eb02d78c9f99a34507e386a019fdbf7c9365286105108bac80fb6,1764921999,ETH,BUY,0.07,0.752688,10.752685,eth-updown-15m-1764921600,399.0,501.0,0.44333333333333336,3166.51,,-0.0014033604965057326,-0.0018943931007526394,-0.0020296569438533855,-0.0015639435340708194,0.0008806553303027465,0.0006282151477920394,0.0005256123549766011,2.681111111111073,29.74842767295908,-0.0010203285002362832,1,8.0,139.0,0
0x20d3a009b74d6a036aefa7dc83f90de8d8ff319af337171187a53d0638e2bbd5,1764922001,ETH,BUY,0.08,8.0,100.0,eth-updown-15m-1764921600,401.0,499.0,0.44555555555555554,3166.51,,-0.0014033604965057326,-0.0018943931007526394,-0.0020296569438533855,-0.0015639435340708194,0.0008806553303027465,0.0006282151477920394,0.0005256123549766011,2.681111111111073,29.74842767295908,-0.0010203285002362832,3,2.0,136.0,0
0x759c10062894eadc046f6c5212079bd212da30d35b34c4eb154647e2c92461dc,1764922001,ETH,BUY,0.08,1.36,17.0,eth-updown-15m-1764921600,401.0,499.0,0.44555555555555554,3166.51,,-0.0014033604965057326,-0.0018943931007526394,-0.0020296569438533855,-0.0015639435340708194,0.0008806553303027465,0.0006282151477920394,0.0005256123549766011,2.681111111111073,29.74842767295908,-0.0010203285002362832,3,0.0,138.0,0
0x661cdc792e5f1b539960a8665b1ba37c7b13314173af26ee3cdb55ee77a6cb1f,1764922001,ETH,BUY,0.08,0.32,4.0,eth-updown-15m-1764921600,401.0,499.0,0.44555555555555554,3166.51,,-0.0014033604965057326,-0.0018943931007526394,-0.0020296569438533855,-0.0015639435340708194,0.0008806553303027465,0.0006282151477920394,0.0005256123549766011,2.681111111111073,29.74842767295908,-0.0010203285002362832,3,0.0,139.0,0
0xf7b380327125122264409b5f4f958f2942942cd1b3350ffa013feeae948c6465,1764922009,ETH,BUY,0.082482,9.9803,121.0,eth-updown-15m-1764921600,409.0,491.0,0.45444444444444443,3166.51,,-0.0014033604965057326,-0.0018943931007526394,-0.0020296569438533855,-0.0015639435340708194,0.0008806553303027465,0.0006282151477920394,0.0005256123549766011,2.681111111111073,29.74842767295908,-0.0010203285002362832,9,8.0,146.0,0
0xd28a0721250cd2ab63162edfaef53b6d3b2a4b983f22d4d85b7b85e0dcb214d8,1764922009,ETH,BUY,0.08,0.408695,5.108687,eth-updown-15m-1764921600,409.0,491.0,0.45444444444444443,3166.51,,-0.0014033604965057326,-0.0018943931007526394,-0.0020296569438533855,-0.0015639435340708194,0.0008806553303027465,0.0006282151477920394,0.0005256123549766011,2.681111111111073,29.74842767295908,-0.0010203285002362832,9,0.0,154.0,0
0x68179a061617e826318d1722eac031f3335326abcb22dec7e88f8f987fa904ce,1764922009,ETH,BUY,0.08,0.490434,6.130425,eth-updown-15m-1764921600,409.0,491.0,0.45444444444444443,3166.51,,-0.0014033604965057326,-0.0018943931007526394,-0.0020296569438533855,-0.0015639435340708194,0.0008806553303027465,0.0006282151477920394,0.0005256123549766011,2.681111111111073,29.74842767295908,-0.0010203285002362832,9,0.0,162.0,0
0xbebafcd55d28b7a93e73cc220c758875c5e66f1ae88632fac96c630709068a6e,1764922009,ETH,BUY,0.08,0.408695,5.108687,eth-updown-15m-1764921600,409.0,491.0,0.45444444444444443,3166.51,,-0.0014033604965057326,-0.0018943931007526394,-0.0020296569438533855,-0.0015639435340708194,0.0008806553303027465,0.0006282151477920394,0.0005256123549766011,2.681111111111073,29.74842767295908,-0.0010203285002362832,9,0.0,170.0,0
0x2859811e0594c2ae2ec021abe1635f2b57aa643d7f9ced9714210689d600d205,1764922009,ETH,BUY,0.08,0.408695,5.108687,eth-updown-15m-1764921600,409.0,491.0,0.45444444444444443,3166.51,,-0.0014033604965057326,-0.0018943931007526394,-0.0020296569438533855,-0.0015639435340708194,0.0008806553303027465,0.0006282151477920394,0.0005256123549766011,2.681111111111073,29.74842767295908,-0.0010203285002362832,9,0.0,178.0,0
0xf3179a58cc9f610507731bb3ce055d8de14b0c9f7189be2e7ba71eebb9f6821e,1764922009,ETH,BUY,0.08,0.408695,5.108687,eth-updown-15m-1764921600,409.0,491.0,0.45444444444444443,3166.51,,-0.0014033604965057326,-0.0018943931007526394,-0.0020296569438533855,-0.0015639435340708194,0.0008806553303027465,0.0006282151477920394,0.0005256123549766011,2.681111111111073,29.74842767295908,-0.0010203285002362832,9,0.0,185.0,0
